
Symbol table '.symtab' contains 134 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 00000000     0 FILE    LOCAL  DEFAULT  ABS main.c
     2: 00000040     0 SECTION LOCAL  DEFAULT    2 
     3: 00000000     0 SECTION LOCAL  DEFAULT    4 
     4: 00000000     0 SECTION LOCAL  DEFAULT    5 
     5: 00000000     0 SECTION LOCAL  DEFAULT    6 
     6: 00000000    64 OBJECT  LOCAL  DEFAULT    5 ehdr.3143
     7: 00000040    52 OBJECT  LOCAL  DEFAULT    5 ehdr.3148
     8: 00000000     0 SECTION LOCAL  DEFAULT    8 
     9: 00000000     0 SECTION LOCAL  DEFAULT   10 
    10: 00000000     0 SECTION LOCAL  DEFAULT   11 
    11: 000002e2     0 NOTYPE  LOCAL  DEFAULT    2 .L14
    12: 000008d1     0 NOTYPE  LOCAL  DEFAULT    2 .L35
    13: 000011a0     0 NOTYPE  LOCAL  DEFAULT    2 .L101
    14: 00001791     0 NOTYPE  LOCAL  DEFAULT    2 .L122
    15: 00000000     0 SECTION LOCAL  DEFAULT   12 
    16: 00000153     0 NOTYPE  LOCAL  DEFAULT    2 .L12
    17: 00000167     0 NOTYPE  LOCAL  DEFAULT    2 .L11
    18: 0000017b     0 NOTYPE  LOCAL  DEFAULT    2 .L10
    19: 0000018f     0 NOTYPE  LOCAL  DEFAULT    2 .L9
    20: 000001a3     0 NOTYPE  LOCAL  DEFAULT    2 .L7
    21: 00000212     0 NOTYPE  LOCAL  DEFAULT    2 .L25
    22: 00000229     0 NOTYPE  LOCAL  DEFAULT    2 .L24
    23: 00000240     0 NOTYPE  LOCAL  DEFAULT    2 .L23
    24: 00000257     0 NOTYPE  LOCAL  DEFAULT    2 .L22
    25: 0000026b     0 NOTYPE  LOCAL  DEFAULT    2 .L21
    26: 0000027f     0 NOTYPE  LOCAL  DEFAULT    2 .L20
    27: 00000293     0 NOTYPE  LOCAL  DEFAULT    2 .L19
    28: 000002a7     0 NOTYPE  LOCAL  DEFAULT    2 .L18
    29: 000002bb     0 NOTYPE  LOCAL  DEFAULT    2 .L17
    30: 000002cf     0 NOTYPE  LOCAL  DEFAULT    2 .L15
    31: 00000704     0 NOTYPE  LOCAL  DEFAULT    2 .L55
    32: 0000071b     0 NOTYPE  LOCAL  DEFAULT    2 .L54
    33: 00000732     0 NOTYPE  LOCAL  DEFAULT    2 .L53
    34: 00000749     0 NOTYPE  LOCAL  DEFAULT    2 .L52
    35: 00000760     0 NOTYPE  LOCAL  DEFAULT    2 .L51
    36: 00000777     0 NOTYPE  LOCAL  DEFAULT    2 .L50
    37: 0000078e     0 NOTYPE  LOCAL  DEFAULT    2 .L49
    38: 000007a5     0 NOTYPE  LOCAL  DEFAULT    2 .L48
    39: 000007bc     0 NOTYPE  LOCAL  DEFAULT    2 .L47
    40: 000007d3     0 NOTYPE  LOCAL  DEFAULT    2 .L46
    41: 000007ea     0 NOTYPE  LOCAL  DEFAULT    2 .L45
    42: 00000801     0 NOTYPE  LOCAL  DEFAULT    2 .L44
    43: 00000818     0 NOTYPE  LOCAL  DEFAULT    2 .L43
    44: 0000082f     0 NOTYPE  LOCAL  DEFAULT    2 .L41
    45: 00000bee     0 NOTYPE  LOCAL  DEFAULT    2 .L74
    46: 00000c05     0 NOTYPE  LOCAL  DEFAULT    2 .L73
    47: 00000c1c     0 NOTYPE  LOCAL  DEFAULT    2 .L72
    48: 00000c33     0 NOTYPE  LOCAL  DEFAULT    2 .L71
    49: 00000c4a     0 NOTYPE  LOCAL  DEFAULT    2 .L70
    50: 00000c61     0 NOTYPE  LOCAL  DEFAULT    2 .L69
    51: 00000c75     0 NOTYPE  LOCAL  DEFAULT    2 .L67
    52: 00000d26     0 NOTYPE  LOCAL  DEFAULT    2 .L85
    53: 00000d3a     0 NOTYPE  LOCAL  DEFAULT    2 .L84
    54: 00000d49     0 NOTYPE  LOCAL  DEFAULT    2 .L83
    55: 00000d58     0 NOTYPE  LOCAL  DEFAULT    2 .L82
    56: 00000d6c     0 NOTYPE  LOCAL  DEFAULT    2 .L81
